#ID,INTERNALNAME,Name,Type,Appeal,Jamming,Effect,"description"
166,REVERSAL,Reversal,Cool,2,0,021,"The appeal works great if performed last."
167,SEISMICTOSS,Seismic Toss,Tough,2,1,006,"Startles the Pokemon that made a same-type appeal."
168,BULKUP,Bulk Up,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
169,DETECT,Detect,Cool,2,0,001,"Can avoid being startled by others once."
171,QUICKGUARD,Quick Guard,Cool,2,0,001,"Can avoid being startled by others once."
172,VCREATE,V-create,Beauty,6,0,010,"After this move, the user is more easily startled."
173,BLASTBURN,Blast Burn,Cool,4,4,005,"Badly startles those that have made appeals."
174,ERUPTION,Eruption,Beauty,1,0,006,"The appeal works better the later it is performed."
179,OVERHEAT,Overheat,Beauty,6,0,010,"After this move, the user is more easily startled."
177,BLUEFLARE,Blue Flare,Cool,3,4,005,"Badly startles those that have made appeals."
181,FIREBLAST,Fire Blast,Beauty,4,0,000,"A highly appealing move."
180,FLAREBLITZ,Flare Blitz,Smart,2,3,008,"Badly startles the Pokemon in front."
184,MAGMASTORM,Magma Storm,Tough,5,4,016,"Jams the others, and misses one turn of appeals."
182,FUSIONFLARE,Fusion Flare,Beauty,5,0,000,"A highly appealing move."
187,HEATWAVE,Heat Wave,Beauty,4,0,000,"A highly appealing move."
183,INFERNO,Inferno,Beauty,2,0,017,"Makes all Pokemon after the user nervous."
185,SACREDFIRE,Sacred Fire,Beauty,3,1,007,"Startles the Pokemon that has the judges attention."
186,SEARINGSHOT,Searing Shot,Tough,2,3,008,"Badly startles the Pokemon in front."
188,FLAMETHROWER,Flamethrower,Beauty,4,0,000,"A highly appealing move."
189,BLAZEKICK,Blaze Kick,Beauty,4,0,000,"A highly appealing move."
190,FIERYDANCE,Fiery Dance,Beauty,2,0,003,"The next appeal can be made earlier next turn."
193,LAVAPLUME,Lava Plume,Tough,2,0,014,"The appeal works great if performed first."
194,FIREPUNCH,Fire Punch,Beauty,4,0,000,"A highly appealing move."
196,FLAMEBURST,Flame Burst,Cool,4,0,000,"A highly appealing move."
197,FIREFANG,Fire Fang,Beauty,3,0,000,"A highly appealing move."
198,FLAMEWHEEL,Flame Wheel,Beauty,4,0,000,"A highly appealing move."
192,FIREPLEDGE,Fire Pledge,Tough,2,0,014,"The appeal works great if performed first."
200,FLAMECHARGE,Flame Charge,Beauty,2,0,003,"The next appeal can be made earlier next turn."
201,EMBER,Ember,Beauty,4,0,000,"A highly appealing move."
202,FIRESPIN,Fire Spin,Beauty,3,0,013,"Temporarily stops the crowd from growing excited."
199,INCINERATE,Incinerate,Beauty,2,0,014,"The appeal works great if performed first."
203,HEATCRASH,Heat Crash,Beauty,3,2,005,"Badly startles those that have made appeals."
204,SUNNYDAY,Sunny Day,Beauty,1,0,019,"The appeal works the best the more the crowd is excited."
205,WILLOWISP,Will-O-Wisp,Beauty,1,4,008,"Badly startles the Pokemon in front."
206,SKYATTACK,Sky Attack,Cool,3,0,029,"The appeal performs well if the last Pokemon's didn't."
207,BRAVEBIRD,Brave Bird,Cute,2,0,021,"The appeal works great if performed last."
209,HURRICANE,Hurricane,Cool,2,1,005,"Badly startles those that have made appeals."
210,AEROBLAST,Aeroblast,Cool,2,0,008,"Badly startles the Pokemon in front."
212,FLY,Fly,Smart,1,0,002,"Can avoid being startled by others."
213,BOUNCE,Bounce,Smart,1,0,002,"Can avoid being startled by others."
214,DRILLPECK,Drill Peck,Cool,4,0,000,"A highly appealing move."
216,AIRSLASH,Air Slash,Cool,2,0,014,"The appeal works great if performed first."
218,AERIALACE,Aerial Ace,Cool,2,0,014,"The appeal works great if performed first."
217,CHATTER,Chatter,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
220,PLUCK,Pluck,Cute,1,0,034,"Earns the same amount as the last appeal."
221,SKYDROP,Sky Drop,Cool,5,3,016,"Jams the others, and misses one turn of appeals."
222,WINGATTACK,Wing Attack,Cool,2,0,025,"Works well if its the same type as the one before."
223,ACROBATICS,Acrobatics,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
219,AIRCUTTER,Air Cutter,Cool,3,0,000,"An appealing move"
224,GUST,Gust,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
225,PECK,Peck,Cool,4,0,000,"A highly appealing move."
226,DEFOG,Defog,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
227,FEATHERDANCE,FeatherDance,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
228,MIRRORMOVE,Mirror Move,Smart,1,0,034,"Earns the same amount as the last appeal."
229,ROOST,Roost,Cool,1,0,034,"Earns the same amount as the last appeal."
230,TAILWIND,Tailwind,Smart,2,0,003,"The next appeal can be made earlier next turn."
231,SHADOWFORCE,Shadow Force,Smart,2,0,023,"It works better the later it is performed."
236,SHADOWBALL,Shadow Ball,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
238,SHADOWCLAW,Shadow Claw,Smart,2,0,014,"The appeal works great if performed first."
240,OMINOUSWIND,Ominous Wind,Smart,0,0,027,"User earns double the score in it's next appeal."
241,SHADOWPUNCH,Shadow Punch,Smart,2,0,014,"The appeal works great if performed first."
239,HEX,Hex,Smart,3,0,017,"Makes all Pokemon after the user nervous."
242,SHADOWSNEAK,Shadow Sneak,Smart,2,0,003,"The next appeal can be made earlier next turn."
243,ASTONISH,Astonish,Smart,2,3,008,"Badly startles the Pokemon in front."
244,LICK,Lick,Tough,1,4,008,"Badly startles the Pokemon in front."
245,NIGHTSHADE,Night Shade,Smart,2,1,032,"Startles the Pokemon who used the same move type."
246,CONFUSERAY,Confuse Ray,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
247,CURSE,Curse,Tough,3,0,026,"The next appeal can be made later next turn."
248,DESTINYBOND,Destiny Bond,Smart,8,0,018,"Makes a great appeal, but allows no more to the end.
249,GRUDGE,Grudge,Tough,1,0,023,"It works better the later it is performed."
250,NIGHTMARE,Nightmare,Smart,2,0,013,"Temporarily stops the crowd from growing excited."
251,SPITE,Spite,Tough,1,0,023,"It works better the later it is performed."
253,FRENZYPLANT,Frenzy Plant,Cool,2,1,005,"Startles the Pokemon that appealed before the user."
254,LEAFSTORM,Leaf Storm,Cool,2,2,005,"Startles the Pokemon that appealed before the user."
256,PETALDANCE,Petal Dance,Beauty,4,4,016,"Jams the others, and misses one turn of appeals."
257,POWERWHIP,Power Whip,Beauty,4,0,000,"A highly appealing move."
258,SEEDFLARE,Seed Flare,Smart,2,1,007,"Startles the Pokemon that has the judges attention."
259,SOLARBEAM,SolarBeam,Cool,4,0,000,"A highly appealing move."
260,WOODHAMMER,Wood Hammer,Tough,2,0,021,"The appeal works great if performed last."
262,LEAFBLADE,Leaf Blade,Cool,3,0,013,"Temporarily stops the crowd from growing excited."
261,ENERGYBALL,Energy Ball,Beauty,2,0,014,"The appeal works great if performed first."
265,SEEDBOMB,Seed Bomb,Smart,3,0,000,"No extra effect"
266,GIGADRAIN,Giga Drain,Smart,2,1,007,"Startles the Pokemon that has the judges attention."
267,HORNLEECH,Horn Leech,Smart,2,1,007,"Startles the Pokemon that has the judges attention."
269,LEAFTORNADO,Leaf Tornado,Smart,5,0,010,"After this move, the user is more easily startled."
270,MAGICALLEAF,Magical Leaf,Beauty,2,0,014,"The appeal works great if performed first."
271,NEEDLEARM,Needle Arm,Smart,1,4,008,"Badly startles the Pokemon in front."
272,RAZORLEAF,Razor Leaf,Cool,3,0,029,"The appeal performs well if the last Pokemon's didn't."
264,GRASSPLEDGE,Grass Pledge,Smart,3,0,002,"Can avoid being startled by others."
275,MEGADRAIN,Mega Drain,Smart,1,4,008,"Badly startles the Pokemon in front."
273,VINEWHIP,Vine Whip,Cool,3,0,000,"No extra effect"
276,BULLETSEED,Bullet Seed,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
277,ABSORB,Absorb,Smart,2,3,005,"Startles the Pokemon that appealed before the user."
278,GRASSKNOT,Grass Knot,Smart,2,0,036,"Increases if crowd excitement increases."
279,AROMATHERAPY,Aromatherapy,Smart,2,0,000,"No extra effect"
280,COTTONGUARD,Cotton Guard,Smart,2,0,002,"Can avoid being startled by others."
281,COTTONSPORE,Cotton Spore,Beauty,2,1,007,"Startles the Pokemon that has the judges attention."
283,GRASSWHISTLE,GrassWhistle,Smart,1,3,005,"Badly startles those that have made appeals."
285,INGRAIN,Ingrain,Smart,1,0,002,"Can avoid being startled by others."
286,LEECHSEED,Leech Seed,Smart,2,2,005,"Badly startles those that have made appeals."
287,SLEEPPOWDER,Sleep Powder,Smart,1,3,005,"Badly startles those that have made appeals."
289,SPORE,Spore,Beauty,1,3,005,"Badly startles those that have made appeals."
291,STUNSPORE,Stun Spore,Smart,2,1,012,"Badly startles all Pokemon that made good appeals."
292,SYNTHESIS,Synthesis,Beauty,1,0,020,"The appeals quality depends on its timing."
293,WORRYSEED,Worry Seed,Beauty,2,0,017,"Makes all Pokemon after the user nervous."
295,EARTHQUAKE,Earthquake,Tough,1,0,005,"Badly startles those that have made appeals."
297,EARTHPOWER,Earth Power,Smart,2,0,021,"The appeal works great if performed last."
301,DIG,Dig,Smart,1,0,002,"Can avoid being startled by others."
302,DRILLRUN,Drill Run,Tough,1,3,005,"Badly startles those that have made appeals."
304,BONECLUB,Bone Club,Tough,4,0,000,"A highly appealing move."
305,MUDBOMB,Mud Bomb,Smart,2,0,021,"The appeal works great if performed last."
306,BULLDOZE,Bulldoze,Tough,1,3,005,"Badly startles those that have made appeals."
307,MUDSHOT,Mud Shot,Tough,1,3,005,"Badly startles those that have made appeals."
308,BONEMERANG,Bonemerang,Tough,2,0,015,"Can be repeatedly used without boring the judge."
309,SANDTOMB,Sand Tomb,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
310,BONERUSH,Bone Rush,Tough,2,0,015,"Can be repeatedly used without boring the judge."
311,MUDSLAP,Mud-Slap,Cute,2,1,007,"Startles the Pokemon that has the judges attention."
312,FISSURE,Fissure,Tough,2,1,012,"Badly startles all Pokemon that made good appeals."
313,MAGNITUDE,Magnitude,Tough,1,0,033,"Does better based on crowd excitement."
314,MUDSPORT,Mud Sport,Cute,4,0,000,"A highly appealing move."
316,SANDATTACK,Sand-Attack,Cute,2,1,007,"Startles the Pokemon that have the judges attention."
318,SPIKES,Spikes,Smart,2,0,017,"Makes all Pokemon after the user nervous."
319,FREEZESHOCK,Freeze Shock,Cool,2,0,017,"Makes all Pokemon after the user nervous."
320,ICEBURN,Ice Burn,Cool,2,0,017,"Makes all Pokemon after the user nervous."
321,BLIZZARD,Blizzard,Beauty,4,0,000,"A highly appealing move."
323,ICEBEAM,Ice Beam,Beauty,2,1,032,"Startles the Pokemon who used the same move type."
324,ICICLECRASH,Icicle Crash,Cool,2,0,021,"The appeal works great if performed last."
325,ICEPUNCH,Ice Punch,Beauty,4,0,000,"A highly appealing move."
327,AURORABEAM,Aurora Beam,Beauty,2,1,007,"Startles the Pokemon that has the judges attention."
328,GLACIATE,Glaciate,Beauty,4,0,000,"A highly appealing move."
329,ICEFANG,Ice Fang,Cool,4,0,000,"A highly appealing move."
330,AVALANCHE,Avalanche,Cool,2,0,021,"The appeal works great if performed last."
332,ICYWIND,Icy Wind,Beauty,2,0,011,"The user will appeal later in the next turn."
331,FROSTBREATH,Frost Breath,Beauty,2,0,014,"The appeal works great if performed first."
333,ICESHARD,Ice Shard,Beauty,2,0,003,"The next appeal can be made earlier next turn."
334,POWDERSNOW,Powder Snow,Beauty,4,0,000,"A highly appealing move."
335,ICEBALL,Ice Ball,Beauty,2,1,032,"Startles the Pokemon who used the same move type."
336,ICICLESPEAR,Icicle Spear,Beauty,2,0,015,"Can be repeatedly used without boring the judge."
337,SHEERCOLD,Sheer Cold,Beauty,2,1,005,"Startles those that have made appeals."
339,HAIL,Hail,Beauty,1,3,005,"Badly startles those that have made appeals."
340,HAZE,Haze,Beauty,3,0,032,"Removes a star from Pokemon that have appealed already."
341,MIST,Mist,Beauty,1,0,002,"Can avoid being startled by others."
342,EXPLOSION,Explosion,Beauty,8,0,018,"Makes a great appeal, but allows no more to the end."
343,SELFDESTRUCT,Selfdestruct,Beauty,8,0,018,"Makes a great appeal, but allows no more to the end."
344,GIGAIMPACT,Giga Impact,Tough,,4,4,005,"Badly startles those that have made appeals."
345,HYPERBEAM,Hyper Beam,Cool,4,4,005,"Badly startles those that have made appeals."
347,LASTRESORT,Last Resort,Tough,8,0,018,"Makes a great appeal, but allows no more to the end."
349,DOUBLEEDGE,Double-Edge,Tough,6,0,010,"After this appeal, the user is more easily startled."
350,HEADCHARGE,Head Charge,Tough,6,0,010,"After this appeal, the user is more easily startled."
351,MEGAKICK,Mega Kick,Cool,2,0,021,"The appeal works great if performed last."
353,THRASH,Thrash,Tough,4,4,016,"Jams the others, and misses one turn of appeals."
354,EGGBOMB,Egg Bomb,Tough,4,0,000,"A highly appealing move."
355,JUDGMENT,Judgment,Smart,2,0,024,"Scrambles the order of appeals on the next turn."
348,SKULLBASH,Skull Bash,Tough,1,4,008,"Badly startles the Pokemon in front."
356,HYPERVOICE,Hyper Voice,Cool,1,3,005,"Badly startles those that have made appeals."
359,ROCKCLIMB,Rock Climb,Cool,2,0,021,"The appeal works great if performed last."
360,TAKEDOWN,Take Down,Tough,6,0,10,"After this move, the user is more easily startled."
361,UPROAR,Uproar,Cute,3,0,024,"Scrambles the order of appeals on the next turn."
362,BODYSLAM,Body Slam,Tough,1,4,008,"Badly startles the Pokemon in front."
352,TECHNOBLAST,Techno Blast,Tough,2,1,032,"Startles the Pokemon who used the same move type."
363,EXTREMESPEED,ExtremeSpeed,Cool,3,0,003,"The next appeal can be made earlier next turn."
364,HYPERFANG,Hyper Fang,Cool,2,0,021,"The appeal works great if performed last."
365,MEGAPUNCH,Mega Punch,Tough,2,0,021,"The appeal works great if performed last."
366,RAZORWIND,Razor Wind,Cool,3,0,029,"The appeal performs well if the last Pokemon's didn't."
367,SLAM,Slam,Tough,2,1,006,"Startles Pokemon that made the same type appeal."
368,STRENGTH,Strength,Tough,2,1,032,"Startles the Pokemon who used the same move type."
369,TRIATTACK,Tri Attack,Beauty,2,2,005,"Badly startles those that have made appeals."
370,CRUSHCLAW,Crush Claw,Cool,1,4,008,"Badly startles the Pokemon in front."
371,RELICSONG,Relic Song,Beauty,1,4,008,"Badly startles the Pokemon in front."
372,CHIPAWAY,Chip Away,Tough,1,4,008,"Badly startles the Pokemon in front."
373,DIZZYPUNCH,Dizzy Punch,Cool,1,4,008,"Badly startles the Pokemon in front."
374,FACADE,Facade,Cute,2,0,021,"The appeal works great if performed last."
375,HEADBUTT,Headbutt,Tough,2,3,005,"Startles the Pokemon that appealed before the user."
376,RETALIATE,Retaliate,Cool,1,4,021,"The appeal works great if performed last."
377,SECRETPOWER,Secret Power,Smart,1,0,035,"Success based on how many stars it has."
378,SLASH,Slash,Cool,3,0,009,"Affected by how well the appeal in front goes."
380,HORNATTACK,Horn Attack,Cool,4,0,000,"A highly appealing move."
381,STOMP,Stomp,Tough,1,4,008,"Badly startles the Pokemon in front."
382,COVET,Covet,Cute,1,0,030,"Earns half as much as the previous Pokemon's appeal."
384,ROUND,Round,Beauty,2,0,014,"The appeal works great if performed first."
379,SMELLINGSALTS,Smelling Salts,Smart,2,3,008,"Badly startles the Pokemon in front."
385,SWIFT,Swift,Cool,2,0,014,"The appeal works great if performed first."
386,VICEGRIP,ViceGrip,Tough,4,0,000,"A highly appealing move."
387,CUT,Cut,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
389,STRUGGLE,Struggle,Tough,4,0,000,"A highly appealing move."
399,TACKLE,Tackle,Tough,4,0,000,"A highly appealing move."
390,WEATHERBALL,Weather Ball,Smart,4,0,000,"A highly appealing move."
391,ECHOEDVOICE,Echoed Voice,Cool,2,0,014,021,"The appeal works great if performed last."
392,FAKEOUT,Fake Out,Cute,2,1,006,"Startles Pokemon that made the same type appeal."
393,FALSESWIPE,False Swipe,Cool,1,3,005,"Badly startles those that have made appeals."
395,PAYDAY,Pay Day,Smart,3,0,015,"Can be repeatedly used without boring the judge."
396,POUND,Pound,Tough,4,0,000,"A highly appealing move."
397,QUICKATTACK,Quick Attack,Cool,3,0,003,"The next appeal can be made earlier next turn."
398,SCRATCH,Scratch,Tough,4,0,000,"A highly appealing move."
388,SNORE,Snore,Cute,4,0,000,"A highly appealing move."
400,DOUBLEHIT,Double Hit,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
401,FEINT,Feint,Beauty,4,0,038,"Works better the less the crowd is excited."
402,TAILSLAP,Tail Slap,Tough,3,0,012,"Badly startles all Pokemon that made good appeals."
403,RAGE,Rage,Cool,3,0,015,"Can be repeatedly used without boring the judge."
404,RAPIDSPIN,Rapid Spin,Cool,2,0,001,"Can avoid being startled by others once."
405,SPIKECANNON,Spike Cannon,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
406,COMETPUNCH,Comet Punch,Tough,2,0,015,"Can be repeatedly used without boring the judge."
407,FURYSWIPES,Fury Swipes,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
408,BARRAGE,Barrage,Tough,2,0,015,"Can be repeatedly used without boring the judge."
409,BIND,Bind,Tough,3,0,013,"Temporarily stops the crowd from growing excited."
410,DOUBLESLAP,DoubleSlap,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
411,FURYATTACK,Fury Attack,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
412,WRAP,Wrap,Tough,3,0,013,"Temporarily stops the crowd from growing excited."
413,CONSTRICT,Constrict,Tough,2,3,008,"Badly startles the Pokemon in front."
414,BIDE,Bide,Tough,1,0,002,"Can avoid being startled by others."
415,CRUSHGRIP,Crush Grip,Tough,2,0,021,"The appeal works great if performed last."
416,ENDEAVOR,Endeavor,Tough,2,0,021,"The appeal works great if performed last."
